txn_id,user_id,sender_upi,receiver_upi,amount,timestamp,hour,day_of_week,merchant_type,city,upi_app,is_new_merchant,device_change,is_night,avg_user_amount,is_fraud,fraud_type
TXN0001249,USER0035,user35@ibl,merchant25@upi,44055.0,2025-10-13 01:24:32.782848,1,0,electronics,Lucknow,PhonePe,0,0,1,15560.22,0,none
TXN0005865,USER0170,user170@okaxis,merchant47@upi,32150.21,2025-10-13 01:30:49.868918,1,0,electronics,Mumbai,Paytm,0,0,1,2758.39,0,none
TXN0003881,USER0270,user270@okaxis,merchant106@upi,713.6,2025-10-13 02:16:47.831084,2,0,fuel,Chennai,Paytm,0,0,1,1838.55,0,none
TXN0009015,USER0419,user419@oksbi,merchant100@upi,1783.42,2025-10-13 02:31:17.921927,2,0,utility,Lucknow,BHIM,0,0,1,7278.45,0,none
TXN0007396,USER0393,user393@upi,merchant64@upi,2830.09,2025-10-13 02:35:06.897704,2,0,clothing,Bangalore,PhonePe,0,0,1,6832.2,0,none
TXN0001095,USER0021,user21@ybl,merchant72@upi,463.36,2025-10-13 03:44:24.779333,3,0,grocery,Pune,AmazonPay,0,0,1,705.54,0,none
TXN0001762,USER0108,user108@okhdfcbank,merchant187@upi,1302.38,2025-10-13 03:53:05.790521,3,0,restaurant,Bangalore,BHIM,0,0,1,1121.2,0,none
TXN0005513,USER0339,user339@upi,merchant175@upi,41028.7,2025-10-13 04:23:30.862306,4,0,electronics,Pune,Paytm,0,0,1,2702.43,0,none
TXN0003415,USER0399,user399@okhdfcbank,merchant11@upi,18803.05,2025-10-13 04:51:29.822117,4,0,travel,Kolkata,Paytm,0,0,1,5681.71,0,none
TXN0005374,USER0055,user55@upi,merchant117@upi,4826.32,2025-10-13 04:55:43.860261,4,0,utility,Delhi,BHIM,0,0,1,7442.98,0,none
TXN0002348,USER0056,user56@ibl,merchant41@upi,317.07,2025-10-13 05:03:58.804239,5,0,restaurant,Hyderabad,PhonePe,0,0,1,4583.02,0,none
TXN0004204,USER0438,user438@okaxis,merchant105@upi,1226.24,2025-10-13 05:09:28.838628,5,0,pharmacy,Ahmedabad,AmazonPay,1,0,1,1103.43,0,none
TXN0002780,USER0222,user222@okaxis,merchant167@upi,12923.25,2025-10-13 06:19:16.812417,6,0,electronics,Lucknow,GPay,0,0,0,1201.42,0,none
TXN0003743,USER0368,user368@upi,merchant121@upi,1381.59,2025-10-13 06:39:59.829656,6,0,grocery,Hyderabad,GPay,0,0,0,6343.61,0,none
TXN0000380,USER0369,user369@ybl,merchant43@upi,904.53,2025-10-13 07:12:47.767611,7,0,grocery,Kolkata,BHIM,0,0,0,820.63,0,none
TXN0007213,USER0050,user50@okhdfcbank,merchant63@upi,1439.88,2025-10-13 07:44:27.894621,7,0,utility,Ahmedabad,GPay,0,0,0,4482.23,0,none
TXN0001108,USER0060,user60@okhdfcbank,merchant22@upi,1459.72,2025-10-13 07:46:00.780337,7,0,pharmacy,Lucknow,AmazonPay,0,0,0,24264.52,0,none
TXN0008218,USER0441,user441@oksbi,merchant195@upi,703.73,2025-10-13 08:01:12.912639,8,0,utility,Ahmedabad,GPay,0,0,0,8252.21,0,none
TXN0009305,USER0246,user246@okhdfcbank,merchant16@upi,916.65,2025-10-13 08:10:55.930027,8,0,grocery,Lucknow,BHIM,0,0,0,2144.57,0,none
TXN0004544,USER0279,user279@okaxis,merchant129@upi,2680.44,2025-10-13 08:34:08.844280,8,0,clothing,Kolkata,PhonePe,0,0,0,4332.41,0,none
TXN0001018,USER0252,user252@ybl,merchant135@upi,1183.24,2025-10-13 08:35:57.777315,8,0,restaurant,Delhi,BHIM,0,0,0,340.94,0,none
TXN0001403,USER0422,user422@okaxis,merchant128@upi,1326.6,2025-10-13 08:39:34.783854,8,0,entertainment,Delhi,PhonePe,1,0,0,1060.43,0,none
TXN0000047,USER0224,user224@upi,merchant189@upi,3465.6,2025-10-13 09:07:27.764092,9,0,utility,Jaipur,PhonePe,0,0,0,3465.6,0,none
TXN0009630,USER0462,user462@okhdfcbank,fraud40@upi,72813.44,2025-10-13 10:07:42.941350,10,0,electronics,Pune,BHIM,1,1,0,5436.93,1,new_device_large
TXN0006738,USER0306,user306@oksbi,merchant6@upi,518.42,2025-10-13 10:40:13.883804,10,0,utility,Delhi,GPay,0,0,0,2477.26,0,none
TXN0003734,USER0480,user480@ybl,merchant31@upi,2592.26,2025-10-13 10:41:55.829656,10,0,travel,Lucknow,GPay,0,0,0,5623.53,0,none
TXN0002118,USER0456,user456@ybl,merchant119@upi,1398.75,2025-10-13 11:05:16.799433,11,0,grocery,Delhi,BHIM,0,1,0,4108.04,0,none
TXN0003159,USER0151,user151@ibl,merchant191@upi,1379.36,2025-10-13 11:29:53.819502,11,0,entertainment,Kolkata,PhonePe,0,0,0,487.92,0,none
TXN0003961,USER0466,user466@ybl,merchant133@upi,2890.48,2025-10-13 12:36:31.834107,12,0,clothing,Jaipur,PhonePe,0,0,0,788.51,0,none
TXN0000321,USER0298,user298@upi,merchant92@upi,988.78,2025-10-13 12:46:04.766100,12,0,restaurant,Ahmedabad,GPay,0,0,0,1995.77,0,none
TXN0003316,USER0192,user192@upi,merchant17@upi,13153.27,2025-10-13 13:16:59.822117,13,0,travel,Kolkata,BHIM,0,0,0,3868.43,0,none
TXN0003560,USER0321,user321@ybl,merchant150@upi,10785.11,2025-10-13 13:25:29.822117,13,0,travel,Jaipur,PhonePe,0,0,0,3667.56,0,none
TXN0007343,USER0141,user141@ybl,merchant37@upi,1501.22,2025-10-13 13:25:46.896134,13,0,entertainment,Bangalore,AmazonPay,0,0,0,5111.45,0,none
TXN0006758,USER0079,user79@upi,merchant110@upi,4960.27,2025-10-13 14:35:27.883804,14,0,utility,Chennai,Paytm,0,0,0,6327.55,0,none
TXN0005468,USER0195,user195@okhdfcbank,merchant71@upi,4801.84,2025-10-13 14:39:26.860793,14,0,travel,Kolkata,PhonePe,0,0,0,8141.46,0,none
TXN0004007,USER0028,user28@okhdfcbank,merchant60@upi,685.64,2025-10-13 14:44:55.834107,14,0,utility,Chennai,BHIM,0,1,0,5246.41,0,none
TXN0007915,USER0234,user234@oksbi,merchant191@upi,969.26,2025-10-13 15:43:17.906933,15,0,clothing,Bangalore,GPay,0,0,0,7783.82,0,none
TXN0007310,USER0177,user177@okaxis,merchant51@upi,17495.01,2025-10-13 16:05:55.896134,16,0,travel,Hyderabad,GPay,0,0,0,4396.51,0,none
TXN0005242,USER0118,user118@oksbi,merchant168@upi,1458.2,2025-10-13 16:33:10.856663,16,0,utility,Hyderabad,GPay,0,0,0,4336.92,0,none
TXN0005077,USER0079,user79@okhdfcbank,merchant190@upi,10600.46,2025-10-13 16:41:57.854104,16,0,travel,Lucknow,BHIM,1,0,0,2258.08,0,none
TXN0001432,USER0148,user148@upi,merchant45@upi,3838.38,2025-10-13 16:47:44.783854,16,0,utility,Pune,GPay,0,0,0,12042.2,0,none
TXN0005163,USER0459,user459@upi,merchant45@upi,5790.41,2025-10-13 18:08:19.855115,18,0,travel,Delhi,PhonePe,0,1,0,2760.39,0,none
TXN0002123,USER0018,user18@ybl,merchant47@upi,2393.81,2025-10-13 18:15:08.799433,18,0,clothing,Mumbai,GPay,0,0,0,5652.12,0,none
TXN0004695,USER0325,user325@ybl,merchant7@upi,565.58,2025-10-13 19:26:25.845796,19,0,fuel,Ahmedabad,AmazonPay,0,0,0,6602.94,0,none
TXN0005044,USER0188,user188@oksbi,merchant39@upi,199.35,2025-10-13 20:11:47.854104,20,0,entertainment,Mumbai,BHIM,0,0,0,9056.19,0,none
TXN0004835,USER0131,user131@upi,merchant30@upi,289.0,2025-10-13 20:20:09.850556,20,0,clothing,Ahmedabad,AmazonPay,0,0,0,4352.95,0,none
TXN0006430,USER0492,user492@okaxis,merchant33@upi,1750.43,2025-10-13 20:27:41.879662,20,0,grocery,Jaipur,GPay,0,0,0,2227.98,0,none
TXN0000750,USER0080,user80@upi,merchant76@upi,1723.28,2025-10-13 21:15:19.773190,21,0,utility,Jaipur,BHIM,0,0,0,7117.0,0,none
TXN0006540,USER0438,user438@okaxis,merchant10@upi,4498.39,2025-10-13 21:20:42.880794,21,0,utility,Jaipur,AmazonPay,0,0,0,1464.04,0,none
TXN0005024,USER0372,user372@okhdfcbank,merchant66@upi,4436.65,2025-10-13 21:40:34.853589,21,0,utility,Pune,AmazonPay,0,0,0,4419.5,0,none
TXN0008832,USER0101,user101@okhdfcbank,merchant158@upi,1486.15,2025-10-13 21:48:09.921927,21,0,grocery,Delhi,GPay,0,0,0,5967.3,0,none
TXN0006546,USER0283,user283@oksbi,merchant60@upi,12908.37,2025-10-13 21:56:11.880794,21,0,travel,Ahmedabad,BHIM,0,0,0,1556.82,0,none
TXN0005365,USER0276,user276@okaxis,merchant68@upi,2550.35,2025-10-13 22:01:21.859696,22,0,fuel,Pune,PhonePe,1,0,0,6395.47,0,none
TXN0007994,USER0112,user112@oksbi,merchant137@upi,375.38,2025-10-13 22:19:20.908967,22,0,grocery,Lucknow,AmazonPay,0,0,0,5898.24,0,none
TXN0007411,USER0174,user174@upi,merchant153@upi,1029.86,2025-10-13 22:21:45.898216,22,0,travel,Hyderabad,GPay,0,0,0,5109.58,0,none
TXN0004045,USER0500,user500@oksbi,merchant103@upi,1645.57,2025-10-13 23:26:37.834107,23,0,utility,Jaipur,AmazonPay,0,0,1,1700.07,0,none
TXN0006251,USER0390,user390@upi,merchant70@upi,2802.63,2025-10-14 00:03:16.873629,0,1,utility,Delhi,GPay,0,0,1,10067.71,0,none
TXN0004816,USER0417,user417@oksbi,merchant167@upi,235.71,2025-10-14 00:08:43.849978,0,1,clothing,Chennai,GPay,0,0,1,2739.04,0,none
TXN0001399,USER0192,user192@ybl,merchant141@upi,7025.29,2025-10-14 00:17:12.783854,0,1,travel,Bangalore,BHIM,0,0,1,5717.88,0,none
TXN0003925,USER0224,user224@ibl,merchant200@upi,663.82,2025-10-14 00:54:42.834107,0,1,pharmacy,Bangalore,GPay,0,0,1,10132.04,0,none
TXN0001266,USER0458,user458@oksbi,merchant88@upi,874.03,2025-10-14 01:38:43.782848,1,1,pharmacy,Kolkata,PhonePe,0,0,1,2381.5,0,none
TXN0009007,USER0005,user5@ibl,merchant108@upi,663.84,2025-10-14 01:49:21.921927,1,1,entertainment,Hyderabad,GPay,0,0,1,4570.8,0,none
TXN0006597,USER0452,user452@okaxis,merchant166@upi,279.22,2025-10-14 02:36:12.880794,2,1,restaurant,Jaipur,PhonePe,0,0,1,3440.8,0,none
TXN0009499,USER0181,user181@ibl,merchant16@upi,653.58,2025-10-14 02:50:29.938170,2,1,utility,Lucknow,AmazonPay,0,0,1,2913.42,0,none
TXN0004302,USER0358,user358@upi,merchant21@upi,994.4,2025-10-14 03:49:16.840192,3,1,restaurant,Lucknow,BHIM,0,0,1,2602.64,0,none
TXN0000630,USER0414,user414@upi,merchant122@upi,4494.1,2025-10-14 04:02:31.770648,4,1,travel,Hyderabad,BHIM,0,0,1,3372.53,0,none
TXN0001085,USER0223,user223@okhdfcbank,merchant11@upi,210.47,2025-10-14 04:19:12.779333,4,1,pharmacy,Hyderabad,PhonePe,0,0,1,5444.09,0,none
TXN0009005,USER0344,user344@okhdfcbank,merchant95@upi,467.47,2025-10-14 05:26:36.921927,5,1,fuel,Kolkata,Paytm,0,0,1,1591.12,0,none
TXN0003646,USER0077,user77@okaxis,merchant69@upi,2299.3,2025-10-14 06:33:58.822117,6,1,utility,Ahmedabad,BHIM,0,0,0,3173.77,0,none
TXN0001484,USER0151,user151@okhdfcbank,merchant110@upi,116.22,2025-10-14 06:51:14.783854,6,1,entertainment,Mumbai,PhonePe,0,0,0,516.68,0,none
TXN0009169,USER0080,user80@oksbi,merchant185@upi,3539.63,2025-10-14 06:54:28.930027,6,1,utility,Hyderabad,BHIM,0,0,0,5464.69,0,none
TXN0008069,USER0211,user211@ibl,merchant4@upi,1331.57,2025-10-14 07:04:31.910114,7,1,grocery,Delhi,BHIM,0,0,0,8082.4,0,none
TXN0002998,USER0104,user104@okaxis,merchant119@upi,17378.13,2025-10-14 07:20:55.815959,7,1,electronics,Jaipur,PhonePe,0,0,0,18048.2,0,none
TXN0000631,USER0308,user308@upi,merchant143@upi,1534.94,2025-10-14 07:52:30.770648,7,1,clothing,Jaipur,PhonePe,1,0,0,33152.61,0,none
TXN0003517,USER0069,user69@oksbi,merchant141@upi,728.86,2025-10-14 07:55:25.822117,7,1,restaurant,Lucknow,Paytm,0,0,0,1459.58,0,none
TXN0000878,USER0394,user394@ibl,merchant44@upi,1838.34,2025-10-14 07:56:34.775313,7,1,clothing,Ahmedabad,GPay,0,0,0,1749.18,0,none
TXN0000531,USER0315,user315@okhdfcbank,merchant159@upi,4255.25,2025-10-14 08:06:39.769628,8,1,utility,Mumbai,Paytm,0,0,0,410.12,0,none
TXN0008764,USER0325,user325@okaxis,merchant83@upi,952.51,2025-10-14 08:46:50.921927,8,1,fuel,Bangalore,AmazonPay,0,0,0,8578.8,0,none
TXN0009639,USER0006,user6@upi,fraud35@upi,98873.59,2025-10-14 09:00:11.941350,9,1,unknown,Ahmedabad,PhonePe,1,1,0,6758.96,1,large_amount
TXN0004319,USER0376,user376@upi,merchant116@upi,4981.32,2025-10-14 09:34:22.840192,9,1,utility,Hyderabad,BHIM,0,0,0,1269.93,0,none
TXN0001625,USER0272,user272@oksbi,merchant16@upi,2312.03,2025-10-14 09:47:09.790521,9,1,fuel,Chennai,GPay,0,0,0,394.26,0,none
