txn_id,user_id,sender_upi,receiver_upi,amount,timestamp,hour,day_of_week,merchant_type,city,upi_app,is_new_merchant,device_change,is_night,avg_user_amount,is_fraud,fraud_type,is_weekend,is_midnight,is_business_hours,amount_vs_avg_ratio,is_high_amount,is_micro_txn,is_round_amount,log_amount,amount_bucket,txn_count_last_hour,is_high_velocity,txn_count_today,merchant_risk_score,new_merchant_high_amt,suspicious_receiver,merch_clothing,merch_electronics,merch_entertainment,merch_fuel,merch_grocery,merch_pharmacy,merch_restaurant,merch_travel,merch_unknown,merch_utility,device_change_high_amt,night_new_merchant,midnight_high_amount,composite_risk,upi_app_encoded,city_freq_encoded
TXN0001249,USER0035,user35@ibl,merchant25@upi,44055.0,2025-10-13 01:24:32.782848,1,0,electronics,Lucknow,PhonePe,0,0,1,15560.22,0,none,0,1,0,2.8313,0,0,0,10.693216830942317,4,1,0,1,3,0,0,False,True,False,False,False,False,False,False,False,False,0,0,1,6,1,0.1004
TXN0005865,USER0170,user170@okaxis,merchant47@upi,32150.21,2025-10-13 01:30:49.868918,1,0,electronics,Mumbai,Paytm,0,0,1,2758.39,0,none,0,1,0,11.6554,1,0,0,10.378205365038417,4,1,0,1,3,0,0,False,True,False,False,False,False,False,False,False,False,0,0,1,9,2,0.1017
TXN0003881,USER0270,user270@okaxis,merchant106@upi,713.6,2025-10-13 02:16:47.831084,2,0,fuel,Chennai,Paytm,0,0,1,1838.55,0,none,0,1,0,0.3881,0,0,0,6.571722945589309,2,1,0,1,1,0,0,False,False,False,True,False,False,False,False,False,False,0,0,0,1,2,0.0956
TXN0009015,USER0419,user419@oksbi,merchant100@upi,1783.42,2025-10-13 02:31:17.921927,2,0,utility,Lucknow,BHIM,0,0,1,7278.45,0,none,0,1,0,0.245,0,0,0,7.486848711440569,2,1,0,1,1,0,0,False,False,False,False,False,False,False,False,False,True,0,0,0,1,3,0.1004
TXN0007396,USER0393,user393@upi,merchant64@upi,2830.09,2025-10-13 02:35:06.897704,2,0,clothing,Bangalore,PhonePe,0,0,1,6832.2,0,none,0,1,0,0.4142,0,0,0,7.948417075493192,3,1,0,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0,0,1,4,1,0.1
TXN0001095,USER0021,user21@ybl,merchant72@upi,463.36,2025-10-13 03:44:24.779333,3,0,grocery,Pune,AmazonPay,0,0,1,705.54,0,none,0,1,0,0.6567,0,0,0,6.140660113469835,1,1,0,1,0,0,0,False,False,False,False,True,False,False,False,False,False,0,0,0,0,4,0.0986
TXN0001762,USER0108,user108@okhdfcbank,merchant187@upi,1302.38,2025-10-13 03:53:05.790521,3,0,restaurant,Bangalore,BHIM,0,0,1,1121.2,0,none,0,1,0,1.1616,0,0,0,7.172716169296894,2,1,0,1,0,0,0,False,False,False,False,False,False,True,False,False,False,0,0,0,0,3,0.1
TXN0005513,USER0339,user339@upi,merchant175@upi,41028.7,2025-10-13 04:23:30.862306,4,0,electronics,Pune,Paytm,0,0,1,2702.43,0,none,0,1,0,15.1822,1,0,0,10.622051473686371,4,1,0,1,3,0,0,False,True,False,False,False,False,False,False,False,False,0,0,1,9,2,0.0986
TXN0003415,USER0399,user399@okhdfcbank,merchant11@upi,18803.05,2025-10-13 04:51:29.822117,4,0,travel,Kolkata,Paytm,0,0,1,5681.71,0,none,0,1,0,3.3094,0,0,0,9.841827551149208,4,1,0,1,2,0,0,False,False,False,False,False,False,False,True,False,False,0,0,1,5,2,0.0981
TXN0005374,USER0055,user55@upi,merchant117@upi,4826.32,2025-10-13 04:55:43.860261,4,0,utility,Delhi,BHIM,0,0,1,7442.98,0,none,0,1,0,0.6484,0,0,0,8.4820467272274,3,1,0,1,1,0,0,False,False,False,False,False,False,False,False,False,True,0,0,1,4,3,0.1003
TXN0002348,USER0056,user56@ibl,merchant41@upi,317.07,2025-10-13 05:03:58.804239,5,0,restaurant,Hyderabad,PhonePe,0,0,1,4583.02,0,none,0,0,0,0.0692,0,0,0,5.7622714843422145,1,1,0,1,0,0,0,False,False,False,False,False,False,True,False,False,False,0,0,0,0,1,0.1026
TXN0004204,USER0438,user438@okaxis,merchant105@upi,1226.24,2025-10-13 05:09:28.838628,5,0,pharmacy,Ahmedabad,AmazonPay,1,0,1,1103.43,0,none,0,0,0,1.1113,0,0,0,7.112523024605922,2,1,0,2,0,0,0,False,False,False,False,False,True,False,False,False,False,0,1,0,1,4,0.1
TXN0002780,USER0222,user222@okaxis,merchant167@upi,12923.25,2025-10-13 06:19:16.812417,6,0,electronics,Lucknow,GPay,0,0,0,1201.42,0,none,0,0,0,10.7566,1,0,0,9.46686067061369,4,1,0,1,3,0,0,False,True,False,False,False,False,False,False,False,False,0,0,0,6,0,0.1004
TXN0003743,USER0368,user368@upi,merchant121@upi,1381.59,2025-10-13 06:39:59.829656,6,0,grocery,Hyderabad,GPay,0,0,0,6343.61,0,none,0,0,0,0.2178,0,0,0,7.231713830735116,2,1,0,1,0,0,0,False,False,False,False,True,False,False,False,False,False,0,0,0,0,0,0.1026
TXN0000380,USER0369,user369@ybl,merchant43@upi,904.53,2025-10-13 07:12:47.767611,7,0,grocery,Kolkata,BHIM,0,0,0,820.63,0,none,0,0,0,1.1022,0,0,0,6.808520407641577,2,1,0,1,0,0,0,False,False,False,False,True,False,False,False,False,False,0,0,0,0,3,0.0981
TXN0007213,USER0050,user50@okhdfcbank,merchant63@upi,1439.88,2025-10-13 07:44:27.894621,7,0,utility,Ahmedabad,GPay,0,0,0,4482.23,0,none,0,0,0,0.3212,0,0,0,7.273009317028802,2,1,0,1,1,0,0,False,False,False,False,False,False,False,False,False,True,0,0,0,1,0,0.1
TXN0001108,USER0060,user60@okhdfcbank,merchant22@upi,1459.72,2025-10-13 07:46:00.780337,7,0,pharmacy,Lucknow,AmazonPay,0,0,0,24264.52,0,none,0,0,0,0.0602,0,0,0,7.286684743828477,2,1,0,1,0,0,0,False,False,False,False,False,True,False,False,False,False,0,0,0,0,4,0.1004
TXN0008218,USER0441,user441@oksbi,merchant195@upi,703.73,2025-10-13 08:01:12.912639,8,0,utility,Ahmedabad,GPay,0,0,0,8252.21,0,none,0,0,0,0.0853,0,0,0,6.557814750733783,2,1,0,1,1,0,0,False,False,False,False,False,False,False,False,False,True,0,0,0,1,0,0.1
TXN0009305,USER0246,user246@okhdfcbank,merchant16@upi,916.65,2025-10-13 08:10:55.930027,8,0,grocery,Lucknow,BHIM,0,0,0,2144.57,0,none,0,0,0,0.4274,0,0,0,6.821816054304481,2,1,0,1,0,0,0,False,False,False,False,True,False,False,False,False,False,0,0,0,0,3,0.1004
TXN0004544,USER0279,user279@okaxis,merchant129@upi,2680.44,2025-10-13 08:34:08.844280,8,0,clothing,Kolkata,PhonePe,0,0,0,4332.41,0,none,0,0,0,0.6187,0,0,0,7.8941092426365636,3,1,0,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0,0,0,1,1,0.0981
TXN0001018,USER0252,user252@ybl,merchant135@upi,1183.24,2025-10-13 08:35:57.777315,8,0,restaurant,Delhi,BHIM,0,0,0,340.94,0,none,0,0,0,3.4705,0,0,0,7.076856497605236,2,1,0,1,0,0,0,False,False,False,False,False,False,True,False,False,False,0,0,0,0,3,0.1003
TXN0001403,USER0422,user422@okaxis,merchant128@upi,1326.6,2025-10-13 08:39:34.783854,8,0,entertainment,Delhi,PhonePe,1,0,0,1060.43,0,none,0,0,0,1.251,0,0,0,7.19112807984582,2,1,0,1,2,0,0,False,False,True,False,False,False,False,False,False,False,0,0,0,2,1,0.1003
TXN0000047,USER0224,user224@upi,merchant189@upi,3465.6,2025-10-13 09:07:27.764092,9,0,utility,Jaipur,PhonePe,0,0,0,3465.6,0,none,0,0,1,1.0,0,0,0,8.15092956550721,3,1,0,1,1,0,0,False,False,False,False,False,False,False,False,False,True,0,0,0,1,1,0.1027
TXN0009630,USER0462,user462@okhdfcbank,fraud40@upi,72813.44,2025-10-13 10:07:42.941350,10,0,electronics,Pune,BHIM,1,1,0,5436.93,1,new_device_large,0,0,1,13.3924,1,0,0,11.195669566164042,5,1,0,1,3,1,1,False,True,False,False,False,False,False,False,False,False,1,0,0,14,3,0.0986
TXN0006738,USER0306,user306@oksbi,merchant6@upi,518.42,2025-10-13 10:40:13.883804,10,0,utility,Delhi,GPay,0,0,0,2477.26,0,none,0,0,1,0.2093,0,0,0,6.252712804455737,2,1,0,1,1,0,0,False,False,False,False,False,False,False,False,False,True,0,0,0,1,0,0.1003
TXN0003734,USER0480,user480@ybl,merchant31@upi,2592.26,2025-10-13 10:41:55.829656,10,0,travel,Lucknow,GPay,0,0,0,5623.53,0,none,0,0,1,0.461,0,0,0,7.860671050469547,3,1,0,1,2,0,0,False,False,False,False,False,False,False,True,False,False,0,0,0,2,0,0.1004
TXN0002118,USER0456,user456@ybl,merchant119@upi,1398.75,2025-10-13 11:05:16.799433,11,0,grocery,Delhi,BHIM,0,1,0,4108.04,0,none,0,0,1,0.3405,0,0,0,7.244048928229002,2,1,0,1,0,0,0,False,False,False,False,True,False,False,False,False,False,0,0,0,0,3,0.1003
TXN0003159,USER0151,user151@ibl,merchant191@upi,1379.36,2025-10-13 11:29:53.819502,11,0,entertainment,Kolkata,PhonePe,0,0,0,487.92,0,none,0,0,1,2.827,0,0,0,7.230099613695919,2,1,0,1,2,0,0,False,False,True,False,False,False,False,False,False,False,0,0,0,2,1,0.0981
TXN0003961,USER0466,user466@ybl,merchant133@upi,2890.48,2025-10-13 12:36:31.834107,12,0,clothing,Jaipur,PhonePe,0,0,0,788.51,0,none,0,0,1,3.6657,0,0,0,7.9695237607491745,3,1,0,1,1,0,0,True,False,False,False,False,False,False,False,False,False,0,0,0,1,1,0.1027
TXN0000321,USER0298,user298@upi,merchant92@upi,988.78,2025-10-13 12:46:04.766100,12,0,restaurant,Ahmedabad,GPay,0,0,0,1995.77,0,none,0,0,1,0.4954,0,0,0,6.897482696211397,2,1,0,1,0,0,0,False,False,False,False,False,False,True,False,False,False,0,0,0,0,0,0.1
TXN0003316,USER0192,user192@upi,merchant17@upi,13153.27,2025-10-13 13:16:59.822117,13,0,travel,Kolkata,BHIM,0,0,0,3868.43,0,none,0,0,1,3.4002,0,0,0,9.484501699726358,4,1,0,1,2,0,0,False,False,False,False,False,False,False,True,False,False,0,0,0,2,3,0.0981
TXN0003560,USER0321,user321@ybl,merchant150@upi,10785.11,2025-10-13 13:25:29.822117,13,0,travel,Jaipur,PhonePe,0,0,0,3667.56,0,none,0,0,1,2.9407,0,0,0,9.286014474250509,4,1,0,1,2,0,0,False,False,False,False,False,False,False,True,False,False,0,0,0,2,1,0.1027
